run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
306,153,63.0,14.0,1.0,68.0
307,153,63.0,10.0,-2.0,63.0
308,153,63.0,9.0,-1.0,63.0
309,153,63.0,12.0,-2.0,63.0
310,153,63.0,17.0,2.0,77.0
311,153,63.0,12.0,-1.0,63.0
312,153,63.0,12.0,-1.0,63.0
313,153,63.0,10.0,-4.0,66.0
314,153,63.0,12.0,-8.0,63.0
315,153,63.0,15.0,-2.0,72.0
316,153,63.0,11.0,-4.0,67.0
317,153,63.0,9.0,-6.0,63.0
318,153,63.0,13.0,-3.0,70.0
319,153,63.0,6.0,-3.0,63.0
320,153,63.0,10.0,-3.0,64.0
321,153,63.0,18.0,2.0,64.0
322,153,63.0,11.0,-2.0,63.0
323,153,63.0,13.0,-10.0,63.0
324,153,63.0,10.0,-3.0,63.0
325,153,63.0,18.0,-3.0,63.0
326,153,63.0,14.0,-1.0,68.0
327,153,63.0,10.0,-9.0,68.0
328,153,63.0,9.0,-2.0,63.0
329,153,63.0,10.0,3.0,66.0
330,153,63.0,8.0,-5.0,63.0
331,153,63.0,12.0,3.0,63.0
332,153,63.0,12.0,-10.0,63.0
333,153,63.0,9.0,-4.0,67.0
334,153,63.0,8.0,-2.0,67.0
335,153,63.0,8.0,-3.0,65.0
336,153,63.0,18.0,3.0,73.0
337,153,63.0,9.0,-1.0,63.0
338,153,63.0,11.0,3.0,65.0
339,153,63.0,10.0,-1.0,66.0
340,153,63.0,10.0,-8.0,65.0
341,153,63.0,10.0,-5.0,70.0
342,153,63.0,10.0,-1.0,64.0
343,153,63.0,14.0,1.0,64.0
344,153,63.0,10.0,-5.0,63.0
345,153,63.0,13.0,-4.0,64.0
346,153,63.0,8.0,-2.0,64.0
347,153,63.0,16.0,-4.0,63.0
348,153,63.0,14.0,-1.0,63.0
349,153,63.0,13.0,-11.0,63.0
350,153,63.0,8.0,-4.0,63.0
351,153,63.0,7.0,-2.0,68.0
352,153,63.0,9.0,-2.0,69.0
353,153,63.0,11.0,2.0,63.0
354,153,63.0,15.0,-6.0,73.0
355,153,63.0,12.0,-1.0,65.0
356,153,63.0,10.0,-4.0,63.0
357,153,63.0,11.0,-4.0,64.0
358,153,63.0,13.0,-7.0,67.0
359,153,63.0,11.0,-2.0,64.0
360,153,63.0,10.0,-4.0,66.0
361,153,63.0,17.0,-18.0,63.0
362,153,63.0,14.0,1.0,63.0
363,153,63.0,9.0,-3.0,69.0
364,153,63.0,12.0,-3.0,72.0
365,153,63.0,14.0,-9.0,63.0
366,153,63.0,13.0,2.0,73.0
367,153,63.0,10.0,-11.0,64.0
368,153,63.0,11.0,-2.0,67.0
369,153,63.0,12.0,-8.0,65.0
370,153,63.0,17.0,-1.0,65.0
371,153,63.0,7.0,0.0,69.0
372,153,63.0,14.0,-1.0,63.0
373,153,63.0,10.0,0.0,68.0
374,153,63.0,11.0,-6.0,72.0
375,153,63.0,12.0,-8.0,66.0
376,153,63.0,14.0,-13.0,65.0
377,153,63.0,12.0,1.0,65.0
378,153,63.0,18.0,-2.0,71.0
379,153,63.0,11.0,-1.0,63.0
380,153,63.0,12.0,0.0,65.0
381,153,63.0,13.0,-5.0,63.0
382,153,63.0,11.0,-2.0,71.0
383,153,63.0,11.0,-6.0,64.0
384,153,63.0,7.0,-2.0,65.0
385,153,63.0,9.0,-4.0,64.0
386,153,63.0,7.0,-5.0,65.0
387,153,63.0,13.0,0.0,64.0
388,153,63.0,12.0,3.0,72.0
389,153,63.0,12.0,-6.0,66.0
390,153,63.0,11.0,-1.0,65.0
391,153,63.0,18.0,-3.0,70.0
392,153,63.0,10.0,-2.0,63.0
393,153,63.0,14.0,1.0,65.0
394,153,63.0,10.0,-4.0,67.0
395,153,63.0,14.0,-2.0,64.0
396,153,63.0,11.0,-5.0,64.0
397,153,63.0,13.0,-2.0,67.0
398,153,63.0,10.0,-2.0,68.0
399,153,63.0,15.0,-2.0,73.0
400,153,63.0,8.0,-1.0,67.0
401,153,63.0,10.0,-6.0,64.0
402,153,63.0,9.0,-3.0,63.0
403,153,63.0,13.0,-4.0,71.0
404,153,63.0,10.0,-1.0,63.0
405,153,63.0,12.0,1.0,75.0
406,153,63.0,7.0,0.0,65.0
407,153,63.0,9.0,3.0,69.0
408,153,63.0,9.0,-2.0,63.0
409,153,63.0,16.0,2.0,66.0
410,153,63.0,12.0,-2.0,64.0
411,153,63.0,16.0,-1.0,64.0
412,153,63.0,9.0,-2.0,63.0
413,153,63.0,8.0,-8.0,65.0
414,153,63.0,9.0,-2.0,69.0
415,153,63.0,8.0,-6.0,63.0
416,153,63.0,13.0,-2.0,64.0
417,153,63.0,10.0,-4.0,65.0
418,153,63.0,9.0,-2.0,66.0
419,153,63.0,19.0,0.0,68.0
420,153,63.0,8.0,-5.0,65.0
421,153,63.0,7.0,-7.0,65.0
422,153,63.0,11.0,-10.0,65.0
423,153,63.0,12.0,-7.0,63.0
424,153,63.0,8.0,-1.0,66.0
425,153,63.0,10.0,-1.0,63.0
426,153,63.0,10.0,3.0,67.0
427,153,63.0,12.0,-2.0,63.0
428,153,63.0,11.0,-1.0,69.0
429,153,63.0,9.0,-1.0,64.0
430,153,63.0,8.0,0.0,63.0
431,153,63.0,8.0,2.0,65.0
432,153,63.0,8.0,-3.0,66.0
433,153,63.0,8.0,-1.0,63.0
434,153,63.0,21.0,-4.0,69.0
435,153,63.0,18.0,1.0,64.0
436,153,63.0,8.0,2.0,68.0
437,153,63.0,11.0,1.0,68.0
438,153,63.0,8.0,-1.0,69.0
439,153,63.0,11.0,-6.0,65.0
440,153,63.0,12.0,0.0,64.0
441,153,63.0,14.0,1.0,63.0
442,153,63.0,9.0,-2.0,65.0
443,153,63.0,7.0,-3.0,64.0
444,153,63.0,15.0,-1.0,78.0
445,153,63.0,16.0,-5.0,64.0
446,153,63.0,13.0,-2.0,65.0
447,153,63.0,14.0,-2.0,65.0
448,153,63.0,11.0,-2.0,67.0
449,153,63.0,13.0,0.0,75.0
450,153,63.0,11.0,-5.0,69.0
451,153,63.0,7.0,-2.0,67.0
452,153,63.0,10.0,2.0,64.0
453,153,63.0,16.0,-2.0,64.0
454,153,63.0,12.0,-4.0,68.0
455,153,63.0,10.0,-1.0,63.0
456,153,63.0,9.0,-8.0,71.0
457,153,63.0,9.0,-3.0,64.0
458,153,63.0,16.0,-2.0,65.0
459,153,63.0,9.0,1.0,64.0
460,153,63.0,7.0,-4.0,66.0
461,153,63.0,10.0,-3.0,64.0
462,153,63.0,9.0,0.0,66.0
463,153,63.0,14.0,-15.0,64.0
464,153,63.0,10.0,-4.0,67.0
465,153,63.0,12.0,-3.0,69.0
466,153,63.0,13.0,2.0,67.0
