run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
387,21,21.0,8.0,4.0,24.0
388,21,21.0,4.0,5.0,23.0
389,21,21.0,5.0,-1.0,21.0
390,21,21.0,4.0,-2.0,21.0
391,21,21.0,8.0,-1.0,21.0
392,21,21.0,5.0,5.0,22.0
393,21,21.0,6.0,-1.0,23.0
394,21,21.0,7.0,-8.0,21.0
395,21,21.0,5.0,-3.0,23.0
396,21,21.0,4.0,-2.0,21.0
397,21,21.0,7.0,-4.0,24.0
398,21,21.0,5.0,0.0,22.0
399,21,21.0,6.0,2.0,22.0
400,21,21.0,4.0,-1.0,23.0
401,21,21.0,5.0,-3.0,23.0
402,21,21.0,4.0,-3.0,25.0
403,21,21.0,3.0,-1.0,22.0
404,21,21.0,3.0,-4.0,21.0
405,21,21.0,7.0,-1.0,21.0
406,21,21.0,11.0,-2.0,21.0
407,21,21.0,5.0,-2.0,21.0
408,21,21.0,5.0,2.0,21.0
409,21,21.0,7.0,-1.0,21.0
410,21,21.0,4.0,-1.0,24.0
411,21,21.0,4.0,-4.0,21.0
412,21,21.0,6.0,-1.0,23.0
413,21,21.0,3.0,2.0,22.0
414,21,21.0,4.0,-5.0,25.0
415,21,21.0,5.0,-2.0,22.0
416,21,21.0,7.0,-2.0,22.0
417,21,21.0,5.0,-2.0,21.0
418,21,21.0,6.0,5.0,22.0
419,21,21.0,3.0,-3.0,23.0
420,21,21.0,6.0,-2.0,27.0
421,21,21.0,7.0,-3.0,22.0
422,21,21.0,6.0,-6.0,22.0
423,21,21.0,7.0,-1.0,28.0
424,21,21.0,6.0,-3.0,24.0
425,21,21.0,7.0,-2.0,21.0
426,21,21.0,5.0,-2.0,21.0
427,21,21.0,11.0,-1.0,21.0
428,21,21.0,3.0,-3.0,23.0
429,21,21.0,3.0,-4.0,24.0
430,21,21.0,7.0,-2.0,22.0
431,21,21.0,6.0,-1.0,25.0
432,21,21.0,5.0,-2.0,21.0
433,21,21.0,5.0,-2.0,25.0
434,21,21.0,4.0,-2.0,21.0
435,21,21.0,4.0,-1.0,24.0
436,21,21.0,5.0,4.0,21.0
437,21,21.0,7.0,-3.0,21.0
438,21,21.0,3.0,-4.0,21.0
439,21,21.0,4.0,-1.0,24.0
440,21,21.0,6.0,-7.0,21.0
441,21,21.0,5.0,-2.0,21.0
442,21,21.0,5.0,-1.0,21.0
443,21,21.0,4.0,-1.0,23.0
444,21,21.0,6.0,-1.0,24.0
445,21,21.0,2.0,-2.0,23.0
446,21,21.0,5.0,-3.0,24.0
447,21,21.0,8.0,5.0,23.0
448,21,21.0,5.0,-1.0,26.0
449,21,21.0,4.0,5.0,25.0
450,21,21.0,4.0,5.0,24.0
451,21,21.0,7.0,-2.0,21.0
452,21,21.0,4.0,-1.0,22.0
453,21,21.0,6.0,-7.0,23.0
454,21,21.0,3.0,-3.0,21.0
455,21,21.0,5.0,3.0,21.0
456,21,21.0,6.0,-3.0,27.0
457,21,21.0,5.0,-1.0,22.0
458,21,21.0,8.0,-2.0,23.0
459,21,21.0,4.0,-4.0,22.0
460,21,21.0,5.0,-3.0,21.0
461,21,21.0,6.0,-1.0,22.0
462,21,21.0,4.0,2.0,23.0
463,21,21.0,9.0,-2.0,21.0
464,21,21.0,3.0,-1.0,23.0
465,21,21.0,4.0,-1.0,21.0
466,21,21.0,5.0,3.0,26.0
467,21,21.0,4.0,-5.0,23.0
468,21,21.0,6.0,-3.0,23.0
469,21,21.0,6.0,-1.0,23.0
470,21,21.0,4.0,1.0,21.0
471,21,21.0,5.0,-1.0,24.0
472,21,21.0,4.0,-5.0,23.0
473,21,21.0,7.0,4.0,21.0
474,21,21.0,6.0,-4.0,23.0
475,21,21.0,4.0,-5.0,21.0
476,21,21.0,8.0,-3.0,25.0
477,21,21.0,5.0,-1.0,22.0
478,21,21.0,5.0,-4.0,22.0
479,21,21.0,5.0,-1.0,23.0
480,21,21.0,6.0,3.0,23.0
481,21,21.0,4.0,2.0,21.0
482,21,21.0,5.0,-1.0,26.0
483,21,21.0,5.0,-2.0,21.0
484,21,21.0,5.0,-5.0,21.0
485,21,21.0,5.0,-3.0,21.0
486,21,21.0,5.0,3.0,26.0
487,21,21.0,7.0,-1.0,24.0
488,21,21.0,4.0,-3.0,21.0
489,21,21.0,6.0,5.0,22.0
490,21,21.0,5.0,4.0,23.0
491,21,21.0,4.0,1.0,24.0
492,21,21.0,4.0,1.0,23.0
